idx,return,steps,failure,wall_dt
943,1.0,15,0,1.167424957999998
944,0.0,9,1,1.1685522820000074
945,1.0,15,0,1.169750343000004
946,1.0,14,0,1.170858633000023
947,1.0,14,0,1.1719741390000138
948,0.0,11,1,1.1733889660000045
949,1.0,14,0,1.1746490550000033
950,1.0,14,0,1.1759473300000138
951,1.0,18,1,1.177236214000004
952,1.0,15,0,1.1784829250000257
953,1.0,18,1,1.1797843580000063
954,1.0,14,0,1.1809358600000053
955,0.0,11,1,1.1820721120000144
956,0.0,11,1,1.183354520000023
957,1.0,14,0,1.1845666040000253
958,1.0,14,0,1.1856845850000184
959,1.0,14,0,1.1868120410000245
960,1.0,16,0,1.188025343000021
961,1.0,14,0,1.1892147460000047
962,1.0,14,0,1.190399465000013
963,1.0,14,0,1.1916005240000231
964,1.0,14,0,1.1927202100000045
965,1.0,14,0,1.193929598000011
966,0.0,14,1,1.1950997380000103
967,1.0,16,0,1.1963031960000023
968,1.0,14,0,1.197518733999999
969,1.0,14,0,1.1986430460000008
970,1.0,15,0,1.1998856970000134
971,1.0,14,0,1.2010736990000055
972,1.0,14,0,1.2022702800000218
973,1.0,14,0,1.2033990560000234
974,1.0,14,0,1.204520002999999
975,1.0,14,0,1.2056388459999994
976,1.0,15,0,1.2068976130000237
977,0.0,10,1,1.208033137000001
978,1.0,14,0,1.2091495310000084
979,1.0,14,0,1.2102642570000057
980,0.0,7,1,1.211366149000014
981,1.0,14,0,1.2125781720000077
982,1.0,14,0,1.2136853530000167
983,1.0,15,0,1.2148994249999987
984,1.0,14,0,1.2161653310000133
985,1.0,16,0,1.2173856020000073
986,1.0,14,0,1.218505485999998
987,1.0,14,0,1.2195981410000059
988,1.0,14,0,1.2208170320000136
989,1.0,14,0,1.2219396810000092
990,1.0,15,0,1.2231738730000075
991,1.0,16,0,1.224384630000003
992,0.0,9,1,1.2254896800000097
993,1.0,14,0,1.2265904910000245
994,1.0,14,0,1.2277879850000204
995,1.0,16,0,1.2290226870000254
996,1.0,14,0,1.2301328249999983
997,1.0,18,1,1.231373514000012
998,1.0,14,0,1.2325531860000183
